userid,time,longitude,latitude,osm_id,class,type,placename,address
14786287,Sat Oct 15 15:31:54 +0000 2016,40.77237970,-73.98568215,117994217,leisure,park,Damrosch Park,"Damrosch Park, West 62nd Street, Upper West Side, Manhattan, New York County, NYC, New York, 10023, United States of America"
14786287,Sat Oct 15 15:30:18 +0000 2016,40.78047000,-73.98117000,269299032,building,yes,null,"2130, Broadway, Upper West Side, Manhattan, New York County, NYC, New York, 10023, United States of America"
14786287,Sat Oct 15 00:28:58 +0000 2016,40.77237970,-73.98568215,117994217,leisure,park,Damrosch Park,"Damrosch Park, West 62nd Street, Upper West Side, Manhattan, New York County, NYC, New York, 10023, United States of America"
14786287,Sun Oct 09 22:26:48 +0000 2016,40.76817391,-73.98216397,109269254,leisure,common,Columbus Circle,"Columbus Circle, Upper West Side, Manhattan, New York County, NYC, New York, 10023, United States of America"
14786287,Sat Oct 08 19:48:00 +0000 2016,40.78047000,-73.98117000,269299032,building,yes,null,"2130, Broadway, Upper West Side, Manhattan, New York County, NYC, New York, 10023, United States of America"
14786287,Sat Oct 08 12:28:57 +0000 2016,40.80689095,-73.96122854,274995732,building,yes,Hamilton Hall,"Hamilton Hall, College Walk, Morningside Heights, Manhattan, New York County, NYC, New York, 10027, United States of America"
14786287,Fri Oct 07 23:04:37 +0000 2016,40.74700000,-73.98600000,265260859,building,yes,null,"310, 5th Avenue, Koreatown, Manhattan, New York County, NYC, New York, 10001, United States of America"
14786287,Fri Oct 07 22:52:05 +0000 2016,40.74700000,-73.98600000,265260859,building,yes,null,"310, 5th Avenue, Koreatown, Manhattan, New York County, NYC, New York, 10001, United States of America"
14786287,Fri Oct 07 13:32:25 +0000 2016,40.80759167,-73.95973484,3660340,building,yes,Columbia School of International and Public Affairs,"Columbia School of International and Public Affairs, 420, West 118th Street, Morningside Heights, Manhattan, New York County, NYC, New York, 10027, United States of America"
14786287,Thu Oct 06 14:48:11 +0000 2016,40.80895230,-73.95968630,274995726,building,yes,Computer Science,"Computer Science, 1202, Amsterdam Avenue, Morningside Heights, Manhattan, New York County, NYC, New York, 10027, United States of America"
14786287,Thu Oct 06 14:46:07 +0000 2016,40.80895230,-73.95968630,274995726,building,yes,Computer Science,"Computer Science, 1202, Amsterdam Avenue, Morningside Heights, Manhattan, New York County, NYC, New York, 10027, United States of America"
14786287,Wed Oct 05 21:35:40 +0000 2016,40.80895230,-73.95968630,274995726,building,yes,Computer Science,"Computer Science, 1202, Amsterdam Avenue, Morningside Heights, Manhattan, New York County, NYC, New York, 10027, United States of America"
14786287,Sun Oct 16 22:43:57 +0000 2016,40.80675000,-73.96048000,274995750,building,yes,Jerome Greene Hall,"Jerome Greene Hall, West 116th Street, Morningside Heights, Manhattan, New York County, NYC, New York, 10027, United States of America"
14786287,Mon Oct 17 11:42:29 +0000 2016,40.74700000,-73.98600000,265260859,building,yes,null,"310, 5th Avenue, Koreatown, Manhattan, New York County, NYC, New York, 10001, United States of America"
14786287,Mon Oct 17 19:26:55 +0000 2016,40.80781280,-73.95971314,3660340,building,yes,Columbia School of International and Public Affairs,"Columbia School of International and Public Affairs, 420, West 118th Street, Morningside Heights, Manhattan, New York County, NYC, New York, 10027, United States of America"
14786287,Mon Oct 24 01:04:04 +0000 2016,40.74700000,-73.98600000,265260859,building,yes,null,"310, 5th Avenue, Koreatown, Manhattan, New York County, NYC, New York, 10001, United States of America"
14786287,Tue Oct 25 11:40:55 +0000 2016,40.77237970,-73.98568215,117994217,leisure,park,Damrosch Park,"Damrosch Park, West 62nd Street, Upper West Side, Manhattan, New York County, NYC, New York, 10023, United States of America"
14786287,Tue Oct 25 00:33:32 +0000 2016,40.80764442,-73.96232948,169626373,amenity,university,Columbia University,"Columbia University, College Walk, Morningside Heights, Manhattan, New York County, NYC, New York, 10027, United States of America"
14786287,Fri Oct 28 12:58:46 +0000 2016,40.73540708,-73.99064909,109294057,leisure,park,Union Square Park,"Union Square Park, East 15th Street, Flatiron, Manhattan, New York County, NYC, New York, 10003, United States of America"
14786287,Thu Oct 27 02:35:50 +0000 2016,40.71420000,-74.00640000,278093236,building,yes,Tower 270,"Tower 270, 270, Broadway, Tribeca, Manhattan, New York County, NYC, New York, 10007, United States of America"
14786287,Mon Oct 31 12:52:10 +0000 2016,40.77237970,-73.98568215,117994217,leisure,park,Damrosch Park,"Damrosch Park, West 62nd Street, Upper West Side, Manhattan, New York County, NYC, New York, 10023, United States of America"
